#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,419.7940475683274,992.2544763021194,1412.0485238704468,248.6266305552973
0.0%,583.4897132079477,1146.8463936443693,1730.336106852317,287.3623263247199
0.0%,760.7000946974954,1209.6338902333948,1970.3339849308902,303.0948264955516
0.0%,777.5637583417467,1226.0058275032038,2003.5695858449506,307.19710035399265
0.0%,840.5679804448132,1272.169371776696,2112.7373522215094,318.7641799100178
0.0%,816.7486128248222,1375.402068176373,2192.150681001195,344.63092889626756
0.0%,666.2012704412946,1358.8789131024807,2025.0801835437753,340.4907647848651
0.0%,726.9924923146718,1284.7412805105216,2011.7337728251935,321.91429047418325
0.0%,612.4052128873382,1368.2214750893154,1980.6266879766536,342.8317063104677
0.0%,680.1351379662433,1237.8854810903729,1918.0206190566162,310.1737543415355
0.0%,661.4018051218303,1270.2007184304057,1931.602523552236,318.27089954705724
0.0%,669.9557389789112,1261.3530443311558,1931.3087833100672,316.05396079587535
0.0%,735.2238749278044,1230.621774964153,1965.8456498919575,308.35370633707987
0.0%,656.1708052994768,1262.4885420270916,1918.6593473265684,316.33847950844984
0.0%,714.293003907448,1355.029400185501,2069.322404092949,339.52620231758897
0.0%,708.0870850676774,1240.7964090730668,1948.8834941407442,310.90313801619885
0.0%,739.3821441310074,1340.221631750217,2079.6037758812245,335.8158581870911
0.0%,629.1649293824171,1357.8891343099829,1987.0540636924,340.24275847997956
0.0%,603.5611455279759,1237.8115708861637,1841.3727164141396,310.1552348533649
0.0%,786.5695706784495,1201.289931374501,1987.8595020529506,301.0041023656792
0.0%,600.8625631199732,1282.2364027237852,1883.0989658437584,321.28664974396446
0.0%,742.7066528314115,1208.4001905190646,1951.106843350476,302.78570155793074
0.0%,768.0162698858824,1247.9540668987418,2015.9703367846241,312.6966137730404
0.0%,735.0064715850018,1254.0067897374488,1989.0132613224505,314.2132288360241
0.0%,761.6486800748644,1204.091045192462,1965.7397252673263,301.705970189906
0.0%,736.9686949373342,1242.6995747951473,1979.6682697324816,311.38000931501387
0.0%,611.4453398920067,1350.3467705415876,1961.7921104335942,338.3528879528674
0.0%,703.136823714698,1206.6494645257164,1909.7862882404145,302.3470266865672
0.0%,488.2698116374445,1269.030971884391,1757.3007835218355,317.97779918894827
0.0%,622.8347131535993,1159.6901308628537,1782.524844016453,290.58054824725536
0.0%,652.7955891025968,1175.0642947787483,1827.859883881345,294.4328126242919
0.0%,572.503173916966,1116.5724034892562,1689.0755774062222,279.7766511320204
0.0%,626.8560747156116,1153.3467521856753,1780.202826901287,288.99110430468863
0.0%,608.0731052503443,1137.134784067451,1745.2078893177952,284.92891350165434
0.0%,571.1465884145391,1243.148537867001,1814.2951262815402,311.49250482747027
0.0%,633.941494953916,1203.9904034767128,1837.9318984306287,301.6807526562212
