#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,41.27708876020819,1036.6854850444593,1077.9625738046675,254.19899026484782
0.8%,233.90784847686393,1210.0999357627163,1444.0077842395804,296.72083406979283
1.2%,392.3979322524858,1162.0732573493292,1554.471189601815,284.9445206800727
1.6%,346.5422754991064,1331.73329681555,1678.2755723146563,326.54576941247683
2.0%,403.81934051957353,1264.6921733537658,1668.5115138733395,310.10704606189796
2.4%,446.1481478185219,1287.1348430129592,1733.2829908314811,315.6100689637473
2.8%,404.87329713647046,1296.0570586138995,1700.93035575037,317.7978281533988
3.2%,397.8022116280763,1311.4166916990634,1709.2189033271397,321.5640651437043
3.6%,364.0157450095571,1300.748443840514,1664.7641888500712,318.9481725970636
4.0%,295.2627172821748,1297.1272226204799,1592.3899399026545,318.0602361969327
4.4%,298.57922037250364,1312.5848606813477,1611.1640810538513,321.8505043579493
4.8%,505.1033250417195,1261.681320781698,1766.7846458234176,309.3687742381894
5.2%,460.1409589993493,1227.4085068120355,1687.5494658113848,300.9649576223432
5.6%,405.3958568245032,1097.501231727063,1502.8970885515662,269.11122895434545
6.0%,398.1360672317676,1249.138814854051,1647.2748820858185,306.29330690678177
6.4%,385.07231727395583,1293.830146506572,1678.9024637805278,317.25178133663746
6.8%,446.98947810699485,1317.411269081073,1764.4007471880677,323.0339569667831
7.2%,355.125563807921,1239.2585164094494,1594.3840802173704,303.8706223757782
7.6%,347.49596643153325,1209.1341466725453,1556.6301131040786,296.4840191292231
8.0%,341.38736530486415,1273.2502966117042,1614.6376619165685,312.2055285062979
8.4%,312.2757873144192,1240.3636078831519,1552.639395197571,304.1415947592234
8.8%,294.833797095675,1246.7792628880966,1541.6130599837716,305.7147363220906
9.2%,499.69057446165084,1249.2827825247434,1748.9733569863943,306.32860829476175
9.6%,430.05233563294735,1196.2990996301944,1626.3514352631419,293.3368196697579
10.0%,380.28570460435816,1265.0533949162757,1645.339099520634,310.195618881501
10.4%,471.3615503647461,1235.1376400574532,1706.4991904221993,302.86016874948984
10.8%,333.4016598949156,1254.242873559364,1587.6445334542796,307.5448403639975
11.2%,421.8965843395754,1292.6804551365185,1714.577039476094,316.9698728990256
11.6%,381.63534830962465,1302.3629160852645,1683.9982643948892,319.3440469681691
12.0%,383.3786130030194,1241.3115673040443,1624.6901803070637,304.3740378010902
12.4%,390.45822771500957,1230.7390828282157,1621.1973105432253,301.7816267785406
12.8%,316.6478774575225,1221.2672886291348,1537.9151660866573,299.45910895019506
13.2%,474.2777780887061,1238.9542279573755,1713.2320060460816,303.7960097585647
13.6%,456.8367527029174,1228.7224908212668,1685.5592435241842,301.28715120293185
14.0%,400.29929326750516,1377.3065451504842,1777.6058384179894,337.7204929684188
14.4%,412.98067991109747,1171.5904122384761,1584.5710921495736,287.2781611119261
14.8%,423.0624218478723,1223.534651176679,1646.5970730245513,300.01507435963197
15.2%,410.05566721399407,1208.4252112128934,1618.4808784268876,296.3101856178967
15.6%,377.432487258372,1289.8606137906609,1667.2931010490329,316.27843771143506
16.0%,329.2729735395505,1294.2032140843462,1623.4761876238967,317.3432588415691
16.4%,463.2124937190797,1155.189157088205,1618.4016508072848,283.256514664261
16.8%,382.7513759271899,1306.7432765736771,1689.494652500867,320.4181270331589
17.2%,398.66972570053645,1235.4268138881705,1634.096539588707,302.9310752074656
17.6%,352.3699715833584,1356.6597908287217,1709.0297624120801,332.65783493321607
18.0%,340.97444501886014,1250.2341902162111,1591.2086352350711,306.5618968649118
18.4%,357.74399336496384,1196.7419205204037,1554.4859138853676,293.4454009364807
18.8%,426.7180372526939,1205.9534467781696,1632.6714840308634,295.7041001343593
19.2%,378.1082551869624,1219.404403374,1597.5126585609623,299.0023228201045
19.6%,354.3245925585852,1276.5044489976585,1630.8290415562437,313.0034583149149
20.0%,389.3377565177111,1266.9387066448649,1656.276463162576,310.65790406312607
20.4%,389.1001105715635,1222.6321708982457,1611.732281469809,299.79378296622366
20.8%,328.6986209663814,1267.4206968548615,1596.119317821243,310.77608978721133
21.2%,353.9551373606178,1187.432164085234,1541.3873014458518,291.1626153476285
