#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,31.715803975653216,942.5343868351595,974.2501908108127,231.11280410482442
0.8%,152.23169976198778,1075.2474940096859,1227.4791937716736,263.65453284064097
1.2%,237.94214038407517,1216.098471242787,1454.040611626862,298.19169643267855
1.6%,255.12789778296923,1187.6670542087363,1442.7949519917056,291.2202112463643
2.0%,218.75186612508423,1226.6948422667556,1445.4467083918398,300.7899645222998
2.4%,244.30628333779805,1140.99666147726,1385.302944815058,279.7764639587321
2.8%,260.2837455872577,1210.0197046730623,1470.30345026032,296.7011611195373
3.2%,302.48896621919994,1259.1236358059846,1561.6126020251845,308.74162073057175
3.6%,226.88828387151526,1262.983557158984,1489.8718410304994,309.6880872573912
4.0%,222.5664079948133,1205.5186594922427,1428.085067487056,295.5974887361512
4.4%,361.59359728287427,1200.461839324592,1562.0554366074662,294.35753833739295
4.8%,365.9554158324802,1294.866034212553,1660.821450045033,317.5057847086214
5.2%,345.6437288392017,1212.7691853662525,1558.4129142054542,297.3753436233385
5.6%,351.6527010639603,1272.5403439271076,1624.1930449910678,312.0314455677753
6.0%,354.04598182523034,1182.4446505387368,1536.490632363967,289.93965918036105
6.4%,350.66532366442163,1234.3225034732613,1584.9878271376829,302.66029434243126
6.8%,348.69900468052765,1225.3708192623012,1574.0698239428289,300.4653093441622
7.2%,324.06888523808686,1197.3448709535703,1521.4137561916573,293.59324654009134
7.6%,212.78794581843266,1308.9201150213487,1521.7080608397814,320.9518956094056
8.0%,200.21720904656968,1263.2867934026463,1463.504002449216,309.76244186933735
8.4%,291.36145690498165,1249.0417332530449,1540.4031901580265,306.2695021508504
8.8%,352.1281360944356,1177.9893442673933,1530.117480361829,288.84720214123536
9.2%,348.0783459805564,1193.4735193002266,1541.551865280783,292.64397726272904
9.6%,319.92070234495,1158.3588035184466,1478.2795058633965,284.0337233101691
10.0%,267.2037451875417,1186.91257369598,1454.1163188835217,291.03520992505327
10.4%,287.2497138318381,1261.590129926674,1548.8398437585122,309.3464139142504
10.8%,354.0834631374199,1202.1900409633035,1556.2735041007236,294.7812995628294
11.2%,327.14890998580677,1194.7835283199884,1521.9324383057951,292.965196161677
11.6%,338.77213804333337,1230.6714390987263,1569.4435771420597,301.7650402940359
12.0%,405.48636700785426,1166.5878204755923,1572.0741874834466,286.05150771204967
12.4%,357.5640649871739,1180.980006206288,1538.5440711934618,289.58052314944644
12.8%,228.43591506242262,1157.0228832364705,1385.4587982988933,283.70615087701395
13.2%,295.92942731176083,1221.584201079159,1517.5136283909196,299.5368170168755
13.6%,297.970738402783,1174.0203083470008,1471.991046749784,287.8739803320717
14.0%,341.52369911851247,1195.289576038666,1536.8132751571784,293.0892808729703
14.4%,331.5113233603779,1199.5564566548003,1531.0677800151782,294.13553526723865
14.8%,347.4597977822515,1205.4463473240453,1552.9061451062967,295.5797575337713
15.2%,308.85889917441705,1327.2061255389508,1636.0650247133678,325.4356908169246
15.6%,401.1049904503976,1253.4795108175397,1654.5845012679374,307.3576610883378
16.0%,339.4558254290148,1295.3166991805424,1634.7725246095572,317.6162893712827
16.4%,334.78600704986525,1161.1277330115827,1495.913740061448,284.7126747293062
16.8%,337.74936000283697,1247.756755686098,1585.5061156889349,305.95442105369693
