#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,48.062255431758445,910.8188603170958,958.8811157488542,228.2215194743101
0.0%,219.5771088986819,1030.4436032344274,1250.0207121331093,258.1955810410771
0.0%,257.0736390281308,1129.3735637567231,1386.447202784854,282.9842046583696
0.0%,279.03560356436816,1081.4918768925072,1360.5274804568753,270.9866145696663
0.0%,210.54256585689473,1075.0345156410813,1285.577081497976,269.3686103091024
0.0%,240.59280875798493,1189.2665943079635,1429.8594030659483,297.9914459813772
0.0%,386.2254229928143,1179.111614648053,1565.3370376408675,295.446939066568
0.0%,315.1803143067377,1201.5850720362391,1516.7653863429769,301.07805499579604
0.0%,381.02316805992183,1129.6253607936812,1510.648528853603,283.04729678884405
0.0%,416.3266245019844,1187.4298081282489,1603.7564326302331,297.5312072323267
0.0%,386.3039105259353,1313.5890570902488,1699.8929676161843,329.14260303041283
0.0%,381.3992857948786,1200.3586178677008,1581.7579036625793,300.77074555579173
0.0%,300.9829481883678,1156.3552449659376,1457.3381931543054,289.7449345376286
0.0%,357.0437491271582,1195.9930598032067,1553.036808930365,299.67687899434907
0.0%,279.8109434016364,1305.2181999448383,1585.0291433464747,327.0451390666529
0.0%,393.14849775251605,1275.824539451067,1668.973037203583,319.68004579391913
0.0%,449.1697761358653,1209.1279738630858,1658.297749998951,302.96806034281883
0.0%,429.9977775368909,1203.1369588693037,1633.1347364061946,301.4669072544887
0.0%,397.1303829791632,1169.6317920167664,1566.7621749959296,293.0716044972926
0.0%,359.15689000043403,1167.2883872110158,1526.4452772114498,292.4844236331133
0.0%,408.6312981828168,1222.2420777253187,1630.8733759081356,306.25402733403894
0.0%,369.35397884253405,1165.0482534210096,1534.4022322635437,291.923119119499
0.0%,391.8737380083476,1072.516194769608,1464.3899327779557,268.737601180008
0.0%,282.6984606496204,1165.9501562551454,1448.6486169047657,292.14910657341824
0.0%,376.5225166497039,1087.0337873362557,1463.5563039859596,272.37523669571937
0.0%,318.6570312035692,1234.7602164513985,1553.4172476549677,309.3906648868247
0.0%,317.3453378818131,1180.9857778272435,1498.3311157090566,295.91654327343383
0.0%,215.75714771226555,1243.7113805819522,1459.4685282942178,311.6335348667324
0.0%,327.8940829559974,1188.5864549020273,1516.4805378580247,297.8210252144828
0.0%,399.6690544316361,1188.6249550835362,1588.2940095151723,297.830672105107
0.0%,369.87448023664115,1260.3372205623282,1630.2117007989693,315.79942846882267
0.0%,323.9319310415624,1282.9508559748433,1606.8827870164057,321.4656684420326
0.0%,383.69449301922464,1242.8366856596253,1626.53117867885,311.41436482870705
0.0%,282.23457442801896,1233.4467249964887,1515.6812994245076,309.0615467397195
0.0%,265.39849393509667,1238.5874816201435,1503.9859755552402,310.34965279352883
0.0%,329.09344296225424,1124.6017654629673,1453.6952084252216,281.78854753633027
0.0%,303.6008660498658,1157.5496234673985,1461.1504895172643,290.0442068609267
0.0%,308.1645617821157,1150.7870256979013,1458.951587480017,288.34972027770976
0.0%,348.01000467985625,1243.3788992454854,1591.3889039253418,311.5502258805978
0.0%,385.3173026880708,1173.541660181549,1558.85896286962,294.05129002246963
0.0%,339.5121518111839,1172.7377177313092,1512.2498695424931,293.84984824786727
0.0%,341.91481391296657,1128.3464104338045,1470.261224346771,282.7268335143334
0.0%,302.51845104970823,1114.837243066484,1417.3556941161924,279.3418764853043
0.0%,316.4587481800957,1117.4329583817769,1433.8917065618725,279.9922781394516
0.0%,297.21352675032585,1194.3776905353934,1491.5912172857193,299.2721201066334
0.0%,361.49165064252765,1180.418781800699,1541.9104324432267,295.774472549658
0.0%,222.18253166332823,1085.2362052063322,1307.4187368696605,271.92482120374314
0.0%,206.36118440445784,1135.3723957457726,1341.7335801502304,284.48731643092924
0.0%,189.23414921486557,1160.6884262815465,1349.922575496412,290.83068854107734
0.0%,209.03662417172956,1168.5563167497617,1377.5929409214912,292.8021254490575
0.0%,268.1967552601743,1197.4104566920505,1465.6072119522248,300.0320324565397
0.0%,223.8779559555317,1053.815624091394,1277.6935800469257,264.0518476881085
0.0%,203.0482571989877,1225.5498018156923,1428.59805901468,307.08283518024894
0.0%,269.4308567135851,1161.6786702900165,1431.1095270036017,291.07881141392244
0.0%,226.81133420540516,1171.2795345276616,1398.0908687330666,293.4844750645621
0.0%,144.92515682719588,1091.504414923482,1236.429571750678,273.49543025495836
0.0%,132.02879331288165,1160.5204128407672,1292.5492061536488,290.7885898489912
0.0%,215.28242979262308,1191.2859703802671,1406.5684001728903,298.4974358062373
0.0%,243.8403881255773,1223.3018361386892,1467.1422242642666,306.51956825102314
0.0%,273.53550477883033,1230.6268745967493,1504.1623793755796,308.3549841387928
0.0%,237.60380773289756,1239.112401399327,1476.7162091322245,310.4811805811348
0.0%,72.56417017250169,1159.6743317045832,1232.238501877085,290.5765894931452
0.0%,186.05335652062865,1127.1930862487927,1313.2464427694213,282.4378480646269
0.0%,209.55507081399037,1296.039698108689,1505.5947689226793,324.7453056674911
0.1%,251.40768117220927,1235.0402765913075,1486.4479577635168,309.46083882970066
0.1%,302.42736878119405,1278.879450925156,1581.30681970635,320.4455070385769
0.1%,265.168032511388,1200.0726891114546,1465.2407216228426,300.6991011289414
0.1%,257.3320199975048,1187.4197833932915,1444.7518033907963,297.5286953604892
0.1%,250.16499791500553,1244.6160855583732,1494.7810834733787,311.8602244461762
0.1%,226.68751290695707,1255.153491816178,1481.841004723135,314.5005550017348
0.1%,236.63131752821914,1208.2908101727437,1444.9221277009628,302.7582944082486
0.1%,188.97939509872458,1250.1931762768932,1439.1725713756177,313.25766160243313
0.1%,278.3345698861058,1259.9298636945764,1538.2644335806822,315.6973581150157
0.1%,251.1008226801203,1288.1914409536053,1539.2922636337255,322.77878822786016
0.1%,312.7966214139045,1140.736518918154,1453.5331403320583,285.83139086151584
0.1%,194.32724759210606,1308.507928727788,1502.8351763198941,327.86943787535546
0.1%,255.92388233045563,1221.0468337071932,1476.9707160376488,305.954538140475
0.1%,267.28138607253845,1157.8750515810232,1425.1564376535616,290.1257485393074
0.1%,180.61294748802413,1215.3683315840465,1395.9812790720707,304.53169059158756
0.1%,62.602001313043615,1160.297642089639,1222.8996434026826,290.7327707596728
0.1%,159.52968615420014,1162.3561369431955,1321.8858230973956,291.2485624760907
0.1%,174.79094347279784,1201.1378130019054,1375.9287564747033,300.96598645960137
0.1%,228.2023461422512,1140.4515043853185,1368.6538505275696,285.75997550925433
0.1%,194.88621181981796,1306.583885439064,1501.470097258882,327.3873353388159
0.1%,172.4055243541876,1174.0765340476123,1346.4820584017998,294.18531197980764
0.1%,217.37260973405427,1204.9647506804308,1422.3373604144851,301.9248923079305
0.1%,294.98661648007965,1138.9241708824688,1433.9107873625485,285.3772755148306
0.1%,237.31049817442653,1172.517423385912,1409.8279215603386,293.79464966510994
0.1%,205.4111008041687,1229.426374240821,1434.8374750449896,308.05417787829873
0.1%,208.2363956067975,1253.3543511457246,1461.5907467525221,314.0497489903003
0.1%,221.92513167181073,1215.429386027269,1437.3545176990797,304.5469888450713
0.1%,181.09829858400064,1248.4152393172028,1429.5135379012036,312.8121685498092
0.1%,104.6178056858779,1156.5236216992496,1261.1414273851274,289.7871242589824
0.1%,231.2915434384679,1150.3198308299575,1381.6113742684254,288.2326564713942
0.1%,189.5817874541978,1084.9885244857326,1274.5703119399304,271.8627604879823
0.1%,139.2166402109579,1223.0103578229564,1362.2269980339142,306.4465332854459
0.1%,298.9902928461373,1048.749389464133,1347.7396823102704,262.7824144176508
0.1%,160.2499379562987,1165.812393621676,1326.0623315779746,292.11458774765936
0.1%,183.5404831464557,1216.9185484449545,1400.4590315914102,304.9201244096883
0.1%,282.01252148225103,1175.079374299706,1457.091895781957,294.4365910607471
0.1%,127.7666129095494,1204.1810333382093,1331.9476462477587,301.7285182861872
0.1%,314.01557157009233,1217.376835693865,1531.3924072639572,305.03495625700606
0.1%,381.596281230757,1163.5779028626416,1545.1741840933987,291.55469719367966
0.1%,377.5626123961026,1227.4062468327265,1604.9688592288292,307.5479997931782
0.1%,270.22622376201184,1244.5339820690756,1514.7602058310874,311.8396519878115
0.1%,311.3884862875474,1282.002352307363,1593.3908385949103,321.228004338169
0.1%,297.2848719788708,1251.8924239928888,1549.1772959717596,313.6834376953576
0.1%,313.92167207521396,1181.400436915305,1495.322108990519,296.02044332564424
0.1%,239.67677540073907,1212.560657941212,1452.2374333419511,303.8281790890561
0.1%,276.54991477623753,1173.5802524230762,1450.1301671993137,294.06095998033396
0.1%,193.68238793336582,1193.932416208896,1387.6148041422618,299.16054887353357
0.1%,348.64654302269116,1132.7810667524645,1481.4276097751558,283.83801384610496
0.1%,268.78419335315823,1164.7954781337176,1433.5796714868757,291.8597818713757
0.1%,240.29033183040156,1168.1212269718778,1408.4115588022794,292.6931061318885
0.1%,116.79045230938038,1223.004345099025,1339.7947974084054,306.44502669280536
0.1%,230.2262021693765,1175.6273515030546,1405.8535536724312,294.57389628732307
0.1%,227.7548799414434,1133.857695919978,1361.6125758614212,284.1077820241977
0.1%,259.06360032766224,1216.209014342757,1475.2726146704192,304.7423382899916
0.1%,288.8899089345583,1207.528709071937,1496.4186180064953,302.5673367120514
0.1%,158.6798723868797,1105.1766222201013,1263.856494606981,276.92123977620156
0.1%,238.99324341633155,1168.223934028162,1407.2171774444935,292.71884117259435
0.1%,155.49343185832197,1141.705588763489,1297.199020621811,286.0742081792228
0.1%,200.38846353210783,1140.458284870156,1340.8467484022638,285.76167447775373
0.1%,132.23824389893457,1161.0053298619312,1293.2435737608657,290.91009424927387
0.1%,208.44356783614148,1128.409281754911,1336.8528495910525,282.74258701819616
0.1%,287.45412663919,1245.4331355923864,1532.8872622315764,312.0649505540481
0.1%,223.92264225035646,1214.2120425368976,1438.134684787254,304.2419622440653
0.1%,349.8966302629617,1237.4941795014295,1587.3908097643912,310.0757069172977
0.1%,257.9179461418719,1219.6492756252574,1477.5672217671292,305.60435563667625
0.1%,208.08667348841254,1225.4287574367793,1433.5154309251918,307.0525054041728
0.1%,221.79930493826214,1247.1118721667485,1468.9111771050107,312.4855872234124
0.1%,307.1331528523923,1187.6280581594986,1494.7612110118907,297.58088222846357
0.1%,323.96331975520786,1106.6719454664599,1430.6352652216679,277.29591904368004
0.1%,243.6301418419577,1184.792419436935,1428.4225612788928,296.87036358843636
0.1%,318.34674801388746,1161.1024972253542,1479.4492452392417,290.9344412235076
0.1%,257.60969090225444,1221.8349693802957,1479.44466028255,306.1520192519276
0.1%,354.5917113277542,1245.3954941383142,1599.9872054660684,312.05551883253037
0.1%,269.49911985633844,1123.546534564295,1393.0456544206334,281.5241410669612
0.1%,216.25266428046052,1159.6630879279307,1375.9157522083913,290.57377216919195
0.1%,216.53984897705868,1226.343869470991,1442.8837184480496,307.28180265309487
0.1%,289.0292373371276,1131.996001172726,1421.0252385098536,283.64130199998385
0.1%,279.975999409226,1198.053163690816,1478.029163100042,300.19307388225633
0.1%,173.78404415661225,1250.3299039194835,1424.1139480760958,313.2919210932118
0.1%,345.5955990754732,1131.8909788557369,1477.4865779312101,283.61498683040816
0.1%,374.39322444746676,1150.0552096967874,1524.4484341442542,288.1663510403933
0.1%,161.84470161614246,1321.4221406898928,1483.2668423060352,331.10531847161224
0.1%,262.066595409984,1221.4886249270721,1483.5552203370562,306.06523662058345
0.1%,154.8592293402687,1252.0960583263357,1406.9552876666044,313.734461822131
0.1%,259.2840175447885,1204.47329645275,1463.7573139975384,301.80174989676624
0.1%,242.27432997196763,1253.5324664780767,1495.8067964500442,314.09437888715695
0.1%,363.1737099663794,1221.8197312648513,1584.9934412312307,306.1482010768632
0.1%,280.38650503418194,1268.8180256478954,1549.2045306820773,317.92444180277994
0.1%,338.8664825109072,1167.3008913180179,1506.167373828925,292.4875567547734
0.1%,372.76596704555436,1294.7265325387693,1667.4924995843237,324.41626917654264
0.1%,328.79513718565613,1243.7171866416995,1572.5123238273557,311.63498967606427
0.1%,263.4635179901689,1281.7142494392917,1545.1777674294606,321.15581514975753
0.1%,236.56520290972333,1250.8700452717248,1487.435248181448,313.4272629108994
0.1%,199.5447029986916,1228.9124272351035,1428.457130233795,307.9253995100804
0.1%,217.24772907909733,1145.6693341750981,1362.9170632541955,287.0673935863978
0.1%,210.624548846808,1202.7719610371066,1413.3965098839146,301.3754506943557
0.1%,215.3520977622747,1173.9249172968862,1389.277015059161,294.1473217638206
0.1%,280.9861639672872,1158.2451218571018,1439.231285824389,290.2184760885476
0.1%,187.50202729536886,1190.110514290974,1377.6125415863428,298.20290482267774
0.1%,314.6213153847152,1200.6473676032645,1515.2686829879797,300.843096828113
0.1%,250.25779952751702,1175.9730886454447,1426.2308881729618,294.6605267463668
0.1%,256.2798464554588,1205.6318874241551,1461.911733879614,302.092055031479
0.1%,315.378946892234,1159.268448387541,1474.647395279775,290.47488836311766
0.1%,227.90770556025763,1256.8860959843232,1484.793801544581,314.93468913435913
0.1%,284.1655234145844,1122.9841848491915,1407.149708263776,281.3832345573922
0.1%,261.9033894870771,1140.2657324430281,1402.1691219301051,285.7134271155041
0.1%,326.9017921034308,1262.692667642158,1589.594459745589,316.3896267343844
0.1%,290.92382040215324,1208.7149586848102,1499.6387790869635,302.8645722008197
