#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,-70.68121652438168,912.0006570513758,841.3194405269942,223.62582431005606
0.8%,101.45798329329739,1250.2880156125207,1351.745998905818,306.5750950446778
1.2%,181.05752103092368,1240.0081788252912,1421.065699856215,304.0544422824863
1.6%,129.34537240621523,1177.874659377807,1307.220031784022,288.81908099595836
2.0%,158.70260912466978,1199.6744645575864,1358.3770736822562,294.16447122724213
2.4%,217.2406539946963,1095.4232365161217,1312.663890510818,268.60169709341295
2.8%,172.87560906491126,1205.0078101721008,1377.883419237012,295.47222665499845
3.2%,191.14262405049573,1238.312270765235,1429.4548948157308,303.63859955808493
3.6%,256.63722332199075,1177.1531284103319,1433.7903517323225,288.6421590210461
4.0%,177.6097767160955,1305.2848767716305,1482.894653487726,320.0605221834423
4.4%,270.0679511868949,1246.331169982169,1516.399121169064,305.6048623382499
4.8%,237.5839110090481,1296.7427229447997,1534.3266339538477,317.96595550068963
5.2%,233.75608641848572,1247.416673385415,1481.1727598039006,305.8710316567316
5.6%,270.2017963177082,1217.7088946890653,1487.9106910067735,298.58657802391184
6.0%,235.7666630736897,1219.4832287316026,1455.2498918052922,299.0216510798312
6.4%,206.42816825044088,1140.6926912999586,1347.1208595503995,279.70192938363164
6.8%,195.82633717817828,1229.1392227830534,1424.9655599612315,301.38933537105754
7.2%,327.4829081557313,1146.8920662527023,1474.3749744084337,281.22203830383427
7.6%,288.2486863721081,1238.5391792510823,1526.7878656231903,303.6942383307088
8.0%,323.15694991824455,1207.3743264997236,1530.531276417968,296.0525049260896
8.4%,244.96492574259491,1211.5952396468642,1456.5601653894591,297.087487932486
8.8%,300.90279587082387,1269.9707113339007,1570.8735072047245,311.40136246159886
9.2%,162.2329416671571,1283.6726648913086,1445.9056065584657,314.7611305004072
9.6%,219.21408583598424,1217.7135613444025,1436.9276471803867,298.5877223044981
10.0%,253.69884302372196,1209.3912716758723,1463.0901146995943,296.54706710004984
10.4%,222.93727609634283,1323.6488070507685,1546.5860831471114,324.5634235952922
10.8%,271.44619195176256,1226.6333001911837,1498.0794921429463,300.7748741851678
