#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,114726250404.82228,615443816831.9095,730170067236.7318,8224541916317.542
0.0%,163038044705.7756,106207222771.59602,269245267477.37164,1419310311698.5884
0.0%,35907910571.42465,119002926668.4737,154910837239.89835,1590306916377.129
0.0%,86775101959.69289,52676879426.007355,139451981385.70026,703952482763.0697
0.0%,29124225869.164196,34299393962.492626,63423619831.65682,458363209823.02747
0.0%,20859957704.908813,6503673782.739515,27363631487.64833,86912462475.524
0.0%,4865772045.053719,9246957863.574997,14112729908.628716,123572599914.77995
0.0%,3688991330.946686,2693448175.873858,6382439506.820543,35994150588.653725
