#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,-665.2837317875158,957.9074408724039,292.6237090848881,234.88233196060114
0.8%,-506.86641584737777,1162.2145647387827,655.3481488914049,284.97916975757425
1.2%,-609.6531810172105,1149.1775418325599,539.5243608153494,281.78244509360405
1.6%,-459.30104242862444,1185.3152650416714,726.014222613047,290.6435441277366
2.0%,-434.5157753487314,1299.9672785243363,865.4515031756049,318.7566280664736
2.4%,-448.6066099796062,1262.0401497434764,813.4335397638702,309.4567603835321
2.8%,-465.9617065496808,1240.2218737792773,774.2601672295965,304.10684104981897
3.2%,-494.24978844948464,1218.720177906346,724.4703894568613,298.83454828722995
3.6%,-419.15858988180923,1154.0095894210301,734.8509995392209,282.9672804516955
4.0%,-429.6996162065717,1168.206263300414,738.5066470938424,286.4483556835957
4.4%,-459.2466586852364,1150.1148355864427,690.8681769012063,282.0122728757576
4.8%,-353.71794379131927,1193.5291976145738,839.8112538232546,292.65762978462783
5.2%,-464.1617712923912,1140.6928999186357,676.5311286262445,279.7019805376777
5.6%,-448.9617814460901,1215.5456066811414,766.5838252350513,298.0561320639756
6.0%,-398.1497124312784,1192.7857175151964,794.636005083918,292.47532580403754
6.4%,-329.582906920706,1161.9644535109146,832.3815465902086,284.9178415895858
6.8%,-295.49853484290884,1203.7483008771223,908.2497660342135,295.16339046925884
7.2%,-335.3302269267216,1337.398244881747,1002.0680179550253,327.934834947882
7.6%,-301.1080081806136,1309.3236167793245,1008.215608598711,321.0508356842183
8.0%,-385.2120265251601,1307.0566150678123,921.8445885426522,320.4949587530675
8.4%,-410.7802169080277,1276.231649585249,865.4514326772213,312.936566922897
8.8%,-215.56776954807628,1163.7981834256768,948.2304138776005,285.36747872589723
9.2%,-326.3729681501724,1279.8144895632727,953.4415214131002,313.8150921051562
9.6%,-303.9535303183246,1235.970157872489,932.0166275541643,303.06430509654257
10.0%,-320.37221015571413,1165.6877284992925,845.3155183435783,285.83080193887
10.4%,-301.384845075451,1229.0635327420766,927.6786876666256,301.3707759021859
10.8%,-444.0852706906235,1226.7462917728062,782.6610210821827,300.80258012527327
11.2%,-381.15344306723114,1147.491024255589,766.337581188358,281.368904949255
11.6%,-301.07105889066213,1302.5047427644563,1001.4336838737942,319.37882337737256
12.0%,-323.00035673755576,1207.270662676782,884.2703059392262,296.0270861857881
12.4%,-389.53569716733057,1307.6063124542145,918.0706152868839,320.6297465190684
12.8%,-383.48208378185586,1284.328455054152,900.8463712722962,314.9219325947987
13.2%,-443.63389450259706,1296.3006497128915,852.6667552102945,317.8575575624574
13.6%,-243.60545015660608,1251.6064307882111,1008.000980631605,306.8983751631373
