#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,213.9782183832918,975.821555015502,1189.7997733987938,244.50907608993643
0.0%,281.3837665368302,1215.3551767997676,1496.738943336598,304.5283944314099
0.0%,267.99013780960973,1228.4745195711223,1496.464657380732,307.8156741225007
0.0%,370.29678843733217,1221.3993962821996,1591.6961847195319,306.0428788304666
0.0%,458.2121872449909,1214.9445361379533,1673.1567233829442,304.4255012658417
0.0%,434.4343545608077,1199.6797943887073,1634.1141489495149,300.60065451729827
0.0%,342.1586579695689,1246.4056797920834,1588.5643377616523,312.3086384317162
0.0%,369.6114730572819,1244.694920136403,1614.306393193685,311.8799778219229
0.0%,361.9833746501756,1274.7877031232415,1636.7710777734171,319.4202484044578
0.0%,285.6781447834178,1250.4919567314917,1536.1701015149094,313.33252624600664
0.0%,315.28087400542745,1227.4820148551394,1542.7628888605668,307.5669847900376
0.0%,416.3627413059352,1147.595502747067,1563.958244053002,287.5500286496478
0.0%,340.62130098878595,1325.8068794160195,1666.4281804048055,332.20399108169204
0.0%,427.26278822039825,1267.5458774119004,1694.8086656322987,317.60568291880793
0.0%,377.14643039459156,1289.0536412023032,1666.2000715968948,322.99482750792123
0.0%,419.39460481198444,1185.5999711940383,1604.9945760060227,297.07270973769823
0.0%,374.4581937208336,1087.6897734708007,1462.1479671916343,272.53960544004667
0.0%,329.61569478341744,1235.142916501647,1564.7586112850645,309.4865570458213
0.0%,357.56825326437996,1239.6142465013406,1597.1824997657206,310.6069266067303
0.0%,453.44028944546574,1340.354856825422,1793.795146270888,335.84924004864456
0.0%,481.62053101431,1298.969812048579,1780.590343062889,325.4794967176871
0.0%,411.1390925285888,1245.8594794721298,1656.9985720007185,312.17177843420393
0.0%,275.50902353118835,1222.13201210398,1497.6410356351685,306.22644847677304
0.0%,392.2176271073208,1337.106565819787,1729.3241929271078,335.03532419632825
0.0%,312.4494206789787,1247.7069708365693,1560.156391515548,312.63469955362524
0.0%,414.23250584229294,1242.245385299177,1656.47789114147,311.2662042310222
0.0%,413.10299811557445,1275.4661170395118,1688.5691151550864,319.59023681988197
0.0%,314.6539108511912,1183.6013020630157,1498.2552129142068,296.57190839740804
0.0%,503.48787674704477,1274.6397051665112,1778.127581913556,319.38316494029647
0.0%,394.94900350253965,1221.2631607915594,1616.212164294099,306.00874265692556
0.0%,435.80873764511944,1282.5593450572273,1718.3680827023468,321.3675685668522
0.0%,552.6156982081213,1308.3851842167473,1861.0008824248687,327.83868210158164
0.0%,427.471351139728,1340.0304383500227,1767.5017894897505,335.7679513526953
0.0%,462.73583661070063,1340.0830290073188,1802.8188656180196,335.78112885729166
0.0%,372.020338009023,1263.2798514269073,1635.3001894359304,316.53675585237335
0.0%,388.642117942626,1279.484022977303,1668.1261409199292,320.5969930896285
0.0%,421.6495778497506,1193.8987783618336,1615.5483562115842,299.1521203254403
0.0%,394.78914941307266,1211.5040140385372,1606.2931634516099,303.563418566939
0.0%,445.14900710640916,1188.7696285563504,1633.9186356627597,297.86692256195613
0.0%,443.34757178931966,1272.5932906404184,1715.940862429738,318.8704001601989
0.0%,437.12670903363687,1304.6509187797374,1741.7776278133742,326.9029968964486
0.0%,462.1973772688787,1248.3950170507421,1710.5923943196208,312.80710150895186
0.0%,382.8703347582109,1183.331702329752,1566.202037087963,296.5043554914945
0.0%,355.96419181676833,1268.4614233821274,1624.4256151988957,317.83508889795183
0.0%,447.8584975241172,1217.237957158701,1665.0964546828181,305.0001578226538
0.0%,379.6147323424275,1210.50891974883,1590.1236520912576,303.31408037170434
