#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,-5.666321991908717,996.4021533441063,990.7358313521976,244.32137319539063
0.8%,178.29620954522034,1136.989106810815,1315.2853163560353,278.79379721521366
1.2%,340.88758806917804,1236.0782706027717,1576.9658586719497,303.09081472484274
1.6%,382.45517083123207,1263.847888476582,1646.3030593078142,309.9000243891031
2.0%,351.6185458796766,1299.9159456846535,1651.53449156433,318.74404107051095
2.4%,392.1356333568351,1373.267136201474,1765.402769558309,336.73001544083854
2.8%,417.8808673641279,1327.8743922427398,1745.7552596068676,325.5995522037979
3.2%,369.8278867695572,1295.2180895502402,1665.0459763197973,317.59210993710053
3.6%,340.256366166796,1235.9664454008107,1576.2228115676066,303.0633947852036
4.0%,338.8837391380328,1219.997022884941,1558.8807620229738,299.1476352446206
4.4%,318.37067773335633,1329.6148093866575,1647.9854871200139,326.0263087148187
4.8%,325.9842168305381,1320.4537719227499,1646.437988753288,323.7799895498466
5.2%,427.5909428317068,1242.3721671378041,1669.963109969511,304.6341006752272
5.6%,289.45530492015337,1280.0666031966007,1569.521908116754,313.8769112701282
6.0%,302.72650197868654,1200.6338640167287,1503.3603659954151,294.3997194074211
6.4%,286.75420134488786,1211.8779850058154,1498.6321863507033,297.15681810618315
6.8%,252.40015996021873,1171.2417524806974,1423.6419124409163,287.1926684917902
7.2%,282.18445136099945,1217.2807843182811,1499.4652356792806,298.4816038291872
7.6%,372.4054106704946,1309.2225486916827,1681.6279593621773,321.0260534275
8.0%,286.50904415839443,1212.2099562795315,1498.7190004379258,297.2382186503144
8.4%,363.6543065473321,1309.2881607072195,1672.9424672545515,321.0421417284739
8.8%,281.5255976440816,1179.2104969210777,1460.7360945651594,289.14663314128694
9.2%,352.3174087914782,1282.6564834767355,1634.9738922682136,314.5119591815869
9.6%,296.89785208258377,1280.183935448094,1577.0817875306777,313.9056815580172
10.0%,282.7682440635708,1297.5865648349595,1580.3548088985303,318.17286855148114
10.4%,444.9330616690313,1156.7390113063218,1601.672072975353,283.6365444640282
10.8%,542.6374733197172,1163.4221188926335,1706.0595922123507,285.2752663568103
11.2%,525.0596428832816,1291.454087285734,1816.5137301690156,316.66916311398467
11.6%,481.6038271576035,1287.6048923503292,1769.2087195079328,315.7253267431393
12.0%,449.06099739827914,1234.3196409042898,1683.380638302569,302.659592430277
12.4%,395.31111265336403,1275.8503813825257,1671.1614940358897,312.84307859538546
12.8%,472.9992886667785,1174.3303474046897,1647.3296360714683,287.9500030183581
13.2%,486.121531057811,1264.8912499148944,1751.0127809727055,310.15586034699635
13.6%,553.6848297506587,1216.6077287574678,1770.2925585081266,298.31656819743677
14.0%,398.5002261430959,1423.0733742495952,1821.573600392691,348.9426832203822
14.4%,480.89911753930664,1388.9777784945286,1869.8768960338352,340.5823211448539
14.8%,519.8208532720893,1338.4201639735209,1858.2410172456102,328.1854131656818
15.2%,455.2056571233577,1259.71728189451,1714.9229390178677,308.88718487558475
15.6%,389.94095638801207,1174.6799205910277,1564.6208769790396,288.0357196144451
16.0%,396.5954596994437,1249.1554158620847,1645.7508755615286,306.29737753335115
16.4%,364.4038958736209,1166.2262504403654,1530.6301463139864,285.96284944568964
16.8%,424.479630993015,1181.6016434226765,1606.0812744156915,289.7329508191656
17.2%,548.7295312364155,1250.8887232388545,1799.61825447527,306.72239070402804
17.6%,581.0528421537947,1363.9379649355806,1944.9908070893753,334.4424692660252
18.0%,565.6017922492074,1356.717795382038,1922.3195876312454,332.6720578572335
18.4%,518.2721952213152,1262.7213357032906,1780.9935309246057,309.6237896182088
18.8%,536.3014221810078,1378.2784158915956,1914.5798380726033,337.9587991515596
19.2%,541.7056574153768,1275.8291799987571,1817.534837414134,312.8378799402254
19.6%,497.67763411530746,1251.955479944618,1749.6331140599254,306.98396326521015
20.0%,499.6944618676853,1224.5705101985925,1724.2649720662778,300.26907069818
20.4%,465.2400233577089,1240.2891018633873,1705.5291252210961,304.12332561658945
20.8%,526.6461344888075,1194.4291056585648,1721.0752401473724,292.8782904569473
21.2%,428.05332223022447,1194.0039215054492,1622.0572437356736,292.7740337812652
21.6%,443.7580382933671,1252.6593959743843,1696.4174342677516,307.1565659943688
22.0%,501.11674586269805,1215.2856483074406,1716.4023941701387,297.9923893405953
22.4%,536.7923659675571,1196.6213234513154,1733.4136894188725,293.41583010363576
22.8%,456.91895291510036,1241.1212523036297,1698.04020521873,304.32737188202833
23.2%,539.2627321682353,1102.096413483067,1641.3591456513022,270.2379839627939
23.6%,421.09236338952655,1138.9220814143714,1560.014444803898,279.26776950432173
24.0%,400.5798912354626,1183.8825379438897,1584.4624291793523,290.2922343169645
24.4%,470.32608920213033,1171.7201920402856,1642.046281242416,287.30998358369084
24.8%,402.0737492499172,1222.092481191646,1624.1662304415631,299.6614491191185
