#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,-19.990724052864337,892.4175750806976,872.4268510278332,223.61075715932145
0.0%,82.75996206431944,989.2165233127926,1071.976485377112,247.86541855418184
0.0%,169.28279899616706,1038.386014548215,1207.668813544382,260.1856904440504
0.0%,250.54427714276358,1055.8875293446226,1306.4318064873862,264.5709996135902
0.0%,247.13808447647943,1035.4144683393183,1282.5525528157978,259.4411178176707
0.0%,211.99002625764092,1133.714390402425,1345.7044166600658,284.0718743323504
0.0%,241.49409685654223,1205.8645171413807,1447.358613997923,302.15034445636155
0.0%,232.9079978487058,1211.4119724750137,1444.3199703237196,303.5403559510915
0.0%,296.97531554447505,1185.957927869392,1482.933243413867,297.1624020134234
0.0%,272.12793265966263,1122.7150958834745,1394.8430285431373,281.3158096331781
0.0%,203.36169378227584,1173.6188333725568,1376.9805271548325,294.0706271087793
0.0%,200.42460107502131,1123.6499481211576,1324.0745491961789,281.5500531336845
0.0%,231.16980806443723,1210.8382752174002,1442.0080832818376,303.3966061172275
0.0%,232.78169428637977,1233.8464761915388,1466.6281704779185,309.16171135984416
0.0%,199.9207005643114,1194.1720988215884,1394.0927993858998,299.22060552414047
0.0%,287.1601372687321,1125.988696351438,1413.14883362017,282.13606721182583
0.0%,299.55259113864906,1106.0109923609728,1405.563583499622,277.1303057383264
0.0%,282.9698631266859,1144.3186261388817,1427.2884892655675,286.7289501770418
0.0%,337.55198885016205,1136.2058246097545,1473.7578134599166,284.69614653974526
0.0%,287.2414514929394,1218.9587698514727,1506.200221344412,305.43133739587694
0.0%,355.6763281328497,1138.354617243016,1494.0309453758657,285.23456393662195
0.0%,296.2719809025376,1131.2676984775997,1427.5396793801374,283.4588130826363
0.0%,228.63294735087987,1145.5308260943596,1374.1637734452395,287.0326879758502
0.0%,309.27089330382535,1067.3968675201015,1376.667760823927,267.4548646288985
0.0%,341.3041540277586,1090.716071888736,1432.0202259164946,273.2978971854366
