#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,443.3031680685316,1053.8374846382744,1497.1406527068061,258.4047219362852
0.8%,528.0611715307607,1173.0542180546743,1701.115389585435,287.63709153565577
1.2%,537.3201268346814,1247.5744361658524,1784.8945630005337,305.9097156549809
1.6%,620.378977088853,1162.895709641933,1783.274686730786,285.14618892501005
2.0%,737.1411200511303,1118.04063289082,1855.1817529419504,274.14756361108834
2.4%,702.8200328154031,1275.7387190647205,1978.5587518801235,312.81569859552417
2.8%,653.8539793876647,1182.01782066263,1835.8718000502945,289.8349989675129
3.2%,627.8266034853534,1150.7189719370574,1778.5455754224108,282.16040927056974
3.6%,665.108643081833,1263.9960256996005,1929.1046687814335,309.93634816623245
4.0%,698.7168498453028,1217.3253345143219,1916.0421843596246,298.4925276966601
4.4%,719.011572717206,1226.6491627192938,1945.6607354364999,300.77876373381764
4.8%,647.0308067527681,1339.228597080076,1986.259403832844,328.38364385603836
5.2%,674.2129160738419,1286.4453299576883,1960.6582460315303,315.4409978954698
5.6%,740.6081665916474,1241.2708982795118,1981.8790648711592,304.36406561075825
6.0%,811.4502582613073,1256.5440505799402,2067.9943088412474,308.1090972032124
6.4%,764.9320006863359,1287.8979822274935,2052.8299829138296,315.7971934297157
6.8%,797.4231459917114,1219.053788257033,2016.4769342487443,298.91635073889915
7.2%,668.2923927316244,1263.1595931184104,1931.4519858500348,309.73125190451134
7.6%,635.5058280604131,1237.0304671134052,1872.5362951738184,303.32429671627466
8.0%,648.8382057251071,1197.073849540314,1845.9120552654213,293.52679111982764
8.4%,638.7110309737518,1250.4543593688081,1889.16539034256,306.61588312890893
8.8%,707.7107559028477,1115.7207737909025,1823.4315296937502,273.5787258591732
9.2%,634.0406615530906,1248.5380257461622,1882.5786872992528,306.14599126786266
9.6%,645.9894376395746,1169.9991744994124,1815.988612138987,286.8879839247497
10.0%,635.866018507544,1218.757389082612,1854.6234075901561,298.84367260079455
10.4%,684.8097423561949,1238.9837486003285,1923.7934909565233,303.80324832584364
10.8%,641.8621460229173,1303.932016170418,1945.794162193335,319.7287959233967
11.2%,625.4557737767923,1420.3256923057986,2045.781466082591,348.26894177636837
11.6%,553.0369240226468,1272.596518685611,1825.633442708258,312.04521981955753
12.0%,696.7223477707781,1234.6635135675353,1931.3858613383136,302.7439112377048
12.4%,600.8490237409279,1254.3813779116101,1855.2304016525381,307.5788021267463
12.8%,642.4544341486736,1193.396575065733,1835.8510092144065,292.62511026111946
13.2%,736.315003870402,1133.6178104969606,1869.9328143673627,277.9671432963265
13.6%,587.669352269069,1159.9154111203404,1747.5847633894095,284.4154090638025
14.0%,724.2158896059852,1155.03971268833,1879.2556022943152,283.21987036268933
14.4%,661.5990650120856,1264.5842221761568,1926.1832871882425,310.0805760468915
14.8%,720.3176914941291,1228.2625062521345,1948.5801977462636,301.1743613407242
15.2%,673.8621063056239,1186.3130690959988,1860.1751754016227,290.8882092520692
15.6%,614.7965238292345,1265.760080972428,1880.5566048016626,310.36890083104083
16.0%,656.8734751743397,1260.6396540026926,1917.5131291770322,309.1133538168219
16.4%,757.7745551203582,1251.7319703851313,2009.5065255054894,306.9291579214914
16.8%,716.4729492114811,1280.7551522101364,1997.2281014216176,314.04574595192287
17.2%,617.7946112530165,1365.5400737939115,1983.334685046928,334.8353120905436
17.6%,798.120358997067,1229.758073692413,2027.8784326894802,301.5410798283237
18.0%,807.2602563275526,1194.6730827651456,2001.9333390926981,292.93811451644774
18.4%,664.9911814009578,1293.7411832156804,1958.7323646166383,317.22996721939404
18.8%,768.4063417852269,1237.610122678769,2006.0164644639958,303.4664303349493
19.2%,730.5421164066641,1312.5840968345726,2043.1262132412367,321.85031705998693
19.6%,730.0654203009593,1184.6216297018532,1914.6870500028126,290.47346226053827
20.0%,697.2022847512085,1302.9437116700888,2000.1459964212972,319.4864601236946
20.4%,635.1728423834758,1248.4307698911205,1883.6036122745963,306.1196917484376
20.8%,671.3522995351875,1275.9565672481438,1947.3088667833313,312.8691157495753
21.2%,618.4068186012069,1233.3296721800493,1851.7364907812562,302.41684855691705
21.6%,634.0822101607849,1232.6824334018397,1866.7646435626248,302.25814329263517
22.0%,708.1374249603161,1328.1081173566934,2036.2455423170095,325.65686243802384
22.4%,747.5777577225374,1253.0892640117522,2000.6670217342896,307.2619711752288
22.8%,601.5258645537383,1235.8647703802371,1837.3906349339754,303.03846370635875
23.2%,701.5450711589685,1240.1046741517032,1941.6497453106717,304.0781032817895
23.6%,736.0562476709363,1261.961591499787,1998.0178391707232,309.4374976210927
24.0%,606.5844858795512,1272.684266969906,1879.268752849457,312.06673601283603
24.4%,484.53400196986786,1287.119654624261,1771.653656594129,315.6063447164935
24.8%,497.25650108989,1261.0189699521607,1758.2754710420506,309.20636344485
25.2%,530.8760841036094,1269.7954884440137,1800.671572547623,311.358397182039
25.6%,517.3191742127094,1294.8894002582801,1812.2085744709896,317.511514146639
26.0%,559.7616874330159,1321.2099534264505,1880.9716408594663,323.96540796022344
26.4%,474.16145991372605,1292.1669210077334,1766.3283809214595,316.84395249318703
26.8%,510.15015798066906,1275.8360877788461,1785.9862457595152,312.83957375261974
27.2%,639.5924953719073,1299.9435792282284,1939.5360746001356,318.7508169142702
27.6%,477.9740216257892,1296.4035119992986,1774.3775336250878,317.8827797631327
28.0%,489.6618399058075,1319.040231524174,1808.7020714299815,323.4333843863711
28.4%,516.3293462907623,1239.9236202176867,1756.252966508449,304.03370820934515
28.8%,460.48452464040804,1191.8635684767437,1652.3480931171516,292.2492115602963
29.2%,433.10099896532347,1107.0521848469646,1540.153183812288,271.45315683331233
29.6%,469.24118977821377,1270.5552912226492,1739.796481000863,311.544703541987
30.0%,457.30360388058796,1305.8757269692348,1763.1793308498227,320.2054007659975
30.4%,614.0403733404738,1264.875849429065,1878.9162227695388,310.1520840927669
30.8%,601.7899388266604,1341.9803641937283,1943.7703030203888,329.0583869983178
31.2%,442.98704628873656,1360.3121299539794,1803.299176242716,333.5534015550497
31.6%,449.195102417194,1258.9495374604378,1708.1446398776318,308.6989311933078
32.0%,480.8338522640297,1241.4058786985502,1722.2397309625799,304.3971632924757
32.4%,446.3970117866743,1197.4830546477936,1643.8800664344678,293.62712967634565
32.8%,397.05989577566606,1253.9075387026244,1650.9674344782904,307.46261505727375
33.2%,526.7535408071158,1269.6518398547219,1796.4053806618376,311.32317403396013
33.6%,467.414132289004,1268.8710609486604,1736.2851932376643,311.13172425251327
34.0%,551.1484572033359,1226.6860337449434,1777.8344909482794,300.78780464123395
34.4%,530.6566832217549,1254.4851226826393,1785.141805904394,307.6042407158086
34.8%,545.2315345957807,1220.8651923601224,1766.096726955903,299.3605135063051
35.2%,461.4485189117496,1213.15456162799,1674.6030805397395,297.46983926161937
35.6%,423.1978480724466,1295.6463778577984,1718.844225930245,317.6971277625588
36.0%,482.19689235171177,1216.6313140742393,1698.828206425951,298.32235140149896
36.4%,398.2057095971654,1295.6943796840253,1693.9000892811907,317.7088979821035
36.8%,548.7142352587648,1379.4813485443299,1928.1955838030947,338.2537625421858
37.2%,465.9728147497026,1361.5164135987159,1827.4892283484185,333.8486962137488
37.6%,581.119310386811,1294.8669601536274,1875.9862705404385,317.50601175268594
38.0%,496.13311335962317,1384.930818052079,1881.0639314117022,339.5899919640625
38.4%,432.3993342625513,1324.3414195274358,1756.7407537899871,324.73325465278606
38.8%,351.6075690960954,1295.8505953572437,1647.4581644533391,317.7472026241271
39.2%,492.07653950811505,1251.7955723844364,1743.8721118925514,306.9447533592933
39.6%,408.8717249044936,1275.946183364345,1684.8179082688384,312.86656958411356
40.0%,601.4289668788338,1238.5592049160855,1839.9881717949193,303.69914869542083
40.4%,604.2842119114513,1347.905399389339,1952.1896113007901,330.5112268284648
40.8%,558.1291451551645,1253.9403879144595,1812.069533069624,307.47066980155245
41.2%,484.31333530656036,1242.369735415845,1726.6830707224053,304.63350440830203
41.6%,603.8130066137476,1204.0884326100604,1807.901439223808,295.24679198719
42.0%,492.2234868665694,1353.5510789361986,1845.774565802768,331.8955676539844
42.4%,482.4085226321814,1256.2526308096471,1738.6611534418284,308.0376400328165
42.8%,562.0362207801718,1275.717730422216,1837.7539512023877,312.81055210528325
43.2%,622.5207731292924,1208.456775025777,1830.9775481550694,296.31792517775324
43.6%,522.6618805019973,1277.4027302475106,1800.064610749508,313.2237200914907
44.0%,464.47498350070464,1213.2655529223193,1677.740536423024,297.49705472412336
44.4%,515.4091745802851,1249.2137251850195,1764.6228997653047,306.3116751879695
44.8%,579.7696589918328,1179.310264226328,1759.0799232181607,289.1710964415086
45.2%,500.46914231095707,1298.5410159343571,1799.0101582453142,318.40690337614507
45.6%,502.06337409115076,1193.2517570911948,1695.3151311823456,292.589600375594
46.0%,549.4005056189271,1208.3602852118765,1757.7607908308037,296.29426553013764
46.4%,496.24479723988543,1334.9346684125785,1831.179465652464,327.33075718279594
46.8%,496.0287639658794,1222.889343769181,1718.9181077350604,299.85684267435926
47.2%,509.2696460632284,1232.8517684379037,1742.1214145011322,302.29966484937046
47.6%,367.53369643925396,1363.6889022616251,1731.2225987008792,334.38139820720795
48.0%,453.38712463501383,1206.4091096393277,1659.7962342743415,295.81583029830824
48.4%,436.4655729750434,1262.3108354623055,1698.776408437349,309.5231334903212
48.8%,453.3505869123119,1232.094604463372,1685.4451913756839,302.1140055336306
49.2%,466.1691593271271,1204.1407863083787,1670.3099456355058,295.2596293013427
49.6%,557.1729993424613,1207.0522591840404,1764.2252585265016,295.9735328679052
50.0%,506.0306569526989,1222.1801463601398,1728.2108033128388,299.6829449321052
50.4%,367.5793956441348,1317.0366045321464,1684.6160001762812,322.94208787881075
50.8%,431.341827546937,1292.1285110356023,1723.4703385825392,316.834534230587
51.2%,484.34810303088307,1240.288222769971,1724.6363258008541,304.1231100597383
51.6%,531.7397499195499,1174.6272493935744,1706.3669993131243,288.0228044483684
52.0%,506.5463528667374,1417.4389343864293,1923.9852872531667,347.5610984055207
52.4%,500.0211707578578,1177.03280173077,1677.0539724886278,288.6126544886804
52.8%,489.95606709703577,1302.3719543632926,1792.3280214603283,319.3462631862812
53.2%,500.45890338740287,1238.6228000185952,1739.081703405998,303.71474244210384
53.6%,493.5907258745526,1313.025723926402,1806.6164498009546,321.9586056030756
54.0%,479.9704082940084,1279.6009763605857,1759.571384654594,313.76273790389246
54.4%,441.0104312242239,1247.8754224187687,1688.8858536429925,305.9835185611455
54.8%,553.6475340189168,1310.1953897240699,1863.8429237429866,321.2645975295334
55.2%,535.3361165427511,1277.4166404638067,1812.7527570065579,313.22713092629823
55.6%,556.1538652713348,1179.845103048992,1735.9989683203269,289.30224083451594
56.0%,519.7915757102976,1275.7931672805819,1795.5847429908795,312.8290494928728
56.4%,565.5755961276222,1251.4261116110267,1817.001707738649,306.8541602556973
56.8%,463.09508498586274,1286.882201224737,1749.9772862105997,315.54812029330554
57.2%,441.45003359581597,1272.195361577806,1713.6453951736219,311.946854661356
57.6%,478.19039908923287,1301.73188041384,1779.9222795030728,319.18931476364673
58.0%,478.9247013050681,1290.0864389909411,1769.0111402960092,316.3338108585619
58.4%,526.8117804938123,1248.9349510993502,1775.7467315931626,306.2433187846906
58.8%,551.4617220162581,1319.914373048079,1871.376095064337,323.64772701577107
59.2%,445.9154086898668,1226.8341355202417,1672.7495442101085,300.8241197264554
59.6%,462.46678139420123,1251.5305325316122,1713.9973139258134,306.87976463905005
60.0%,400.1686844447711,1261.2456942985448,1661.4143787433159,309.2619570658187
60.4%,485.2294328043422,1254.545284097588,1739.77471690193,307.6189925100157
60.8%,436.8159935934567,1320.562569831445,1757.3785634249016,323.80666718634507
61.2%,405.7576537268185,1327.886111997325,1733.6437657241436,325.6024259295563
61.6%,453.710178852225,1195.9157663705962,1649.6259452228212,293.2428249829116
62.0%,470.3112267660299,1269.1713437435278,1739.4825705095577,311.20535466824725
62.4%,431.45034858262693,1158.9293850752476,1590.3797336578746,284.17363194947677
62.8%,435.8094555636269,1223.4650026901616,1659.2744582537885,299.99799630153086
63.2%,432.9631481181905,1211.383767978152,1644.3469160963425,297.03563432265764
63.6%,485.51824935847594,1233.576818476539,1719.095067835015,302.4774497131228
64.0%,501.4062062092298,1255.3823670656777,1756.7885732749075,307.8242482489317
64.4%,484.6310044669501,1288.8736438683923,1773.5046483353424,316.03642915504855
64.8%,559.5865211442439,1317.284062499722,1876.8705836439658,323.00276545788194
65.2%,498.4691005866114,1238.1346366541147,1736.603737240726,303.59504303845114
65.6%,494.50424776737805,1199.1061484779038,1693.610396245282,294.02511809103
66.0%,336.9347347469078,1264.5201277997305,1601.4548625466382,310.06485987645766
66.4%,432.8007092545555,1234.0030279159375,1666.8037371704932,302.5819577926699
66.8%,465.04633914289855,1148.604034552472,1613.6503736953705,281.6418190564781
67.2%,524.8980843002639,1254.8714166912114,1779.7695009914753,307.69896138889703
67.6%,397.38284041838233,1253.4251124023663,1650.8079528207486,307.344322402296
68.0%,427.36449410677017,1314.6742051312688,1742.038699238039,322.36281909288806
68.4%,421.81171121970635,1214.2808600227902,1636.0925712424964,297.7460116579974
68.8%,615.2577502181542,1261.9482106280811,1877.2059608462355,309.43421658347273
69.2%,497.94884777985374,1284.7913683284517,1782.7402161083055,315.03544058599255
69.6%,583.4815336844362,1129.9148093248366,1713.3963430092726,277.0591541593289
70.0%,517.0313210313714,1064.076631036088,1581.1079520674593,260.91539726939897
70.4%,515.7372688305487,1269.2411244050065,1784.9783932355554,311.22246513612185
70.8%,537.4582093988575,1206.7326421819814,1744.190851580839,295.8951616353887
71.2%,486.6584806312768,1223.036519401048,1709.695000032325,299.89293066589755
71.6%,510.68533223408133,1164.892753321497,1675.5780855555781,285.6358711807987
72.0%,544.4792242338112,1333.335119548466,1877.8143437822773,326.93854207801974
72.4%,475.1682847954487,1252.4011554633012,1727.5694402587499,307.0932444970489
72.8%,533.6250336711106,1249.6730520957535,1783.298085766864,306.42430378998483
73.2%,566.6734900549624,1248.2074368124115,1814.880926867374,306.06492967843707
73.6%,629.8480342030888,1205.5650417062054,1835.413075909294,295.60886182097363
