#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,71.44142830436846,988.7962400416055,1060.237668345974,242.45637603913667
0.8%,150.50722632659148,1204.3775726444221,1354.8847989710137,295.3176901581784
1.2%,318.81713345335857,1124.0858556651244,1442.902989118483,275.6298738655705
1.6%,284.7372132591054,1150.8794035231422,1435.6166167822475,282.199747669513
2.0%,280.9739754381184,1171.2656252259465,1452.2396006640647,287.1985221743436
2.4%,320.44005180563283,1114.5673236494722,1435.007375455105,273.29589575737054
2.8%,299.9049357185322,1215.4438803593587,1515.348816077891,298.03118840589076
3.2%,307.0574185152785,1197.033935807139,1504.0913543224174,293.517004129639
3.6%,364.1656616248574,1189.1329611267686,1553.298622751626,291.5796568677815
4.0%,349.4845438586383,1146.8407846840455,1496.3253285426838,281.2094638797106
4.4%,295.4922289927001,1154.8897866334792,1450.3820156261793,283.1831079575942
4.8%,324.4624704346488,1171.1672403331138,1495.6297107677626,287.1743978465931
5.2%,325.2600135232067,1191.97595090243,1517.2359644256367,292.27676813318664
5.6%,399.4761208508729,1216.0192660108046,1615.4953868616776,298.1722750263947
6.0%,471.93405314589097,1155.080242235451,1627.014295381342,283.2298083526609
6.4%,353.072504711385,1270.1837340011898,1623.256238712575,311.4535963818279
6.8%,420.52458601555463,1284.5940864379356,1705.1186724534903,314.9870663605499
7.2%,488.91017911168706,1331.6786711663387,1820.5888502780258,326.53237500783587
7.6%,344.9988270678464,1254.2340868972383,1599.2329139650847,307.54268584300496
8.0%,349.344825436553,1089.9188405481666,1439.2636659847196,267.2519995069631
8.4%,316.613473752442,1225.3221329701496,1541.9356067225917,300.45337129112374
8.8%,375.373644904236,1153.791275075505,1529.164919979741,282.91374899302895
9.2%,427.7803690781433,1217.7834580046265,1645.5638270827699,298.6048612156801
9.6%,427.7863518051788,1217.8953229403235,1645.6816747455023,298.63229089817344
10.0%,431.9368034644765,1184.9321104507057,1616.8689139151822,290.54959325107836
10.4%,407.52326289417897,1262.409772245301,1669.93303513948,309.5473931435143
10.8%,229.9939914813698,1283.6631257618892,1513.657117243259,314.758791471742
11.2%,325.06091810154453,1266.5344258369173,1591.5953439384618,310.55877296247274
11.6%,411.9920703892923,1200.882754587074,1612.8748249763662,294.46074826581736
12.0%,348.7360563103646,1254.1443111233498,1602.8803674337144,307.5206725020236
12.4%,346.01506825927856,1243.5208554640797,1589.5359237233583,304.9157631629158
12.8%,327.29474723501085,1227.5372242988417,1554.8319715338525,300.99651961066814
13.2%,306.2632394195658,1242.2639446943829,1548.5271841139488,304.607564144873
13.6%,355.25271282897415,1260.4785765866632,1615.7312894156373,309.07385705806547
14.0%,386.1403915338369,1250.6152676740226,1636.7556592078595,306.6553384210885
14.4%,446.76934895814634,1253.2820418004694,1700.0513907586158,307.30924097879443
14.8%,477.974184696003,1222.602751275948,1700.5769359719511,299.78656916957084
15.2%,407.61904211391357,1348.0281688053456,1755.6472109192591,330.5413303285471
15.6%,463.77198930831673,1251.2731119627117,1715.0451012710284,306.8166441944872
16.0%,413.96831644396696,1222.522269354546,1636.4905857985132,299.76683471447325
16.4%,498.42233415105795,1169.3884598764566,1667.8107940275145,286.738234514022
16.8%,519.5629239738191,1264.5616407279924,1784.1245647018116,310.0750389950036
17.2%,467.8116935227173,1286.2377217516055,1754.0494152743227,315.39009162050183
17.6%,478.36855674030994,1187.4724267184233,1665.8409834587333,291.17248788934904
18.0%,459.4863630335651,1300.6135669795397,1760.0999300131048,318.915100308154
18.4%,458.3854255108847,1233.1742178817676,1691.5596433926523,302.3787306067522
18.8%,532.2919878555956,1125.0318853615063,1657.323873217102,275.86184373208266
19.2%,539.0047924859512,1241.0566922923426,1780.0614847782938,304.3115415362606
19.6%,427.8772462359266,1283.2284779826086,1711.1057242185352,314.6522142810627
20.0%,483.5214540669673,1138.3092708921774,1621.8307249591448,279.1175061716016
20.4%,546.5973640562693,1280.6978875271757,1827.295251583445,314.03170444676385
20.8%,454.70881236698506,1299.0712897950848,1753.7801021620699,318.5369284241519
21.2%,342.00434269763537,1354.0800237578387,1696.084366455474,332.02526681685157
21.6%,516.5651383824331,1176.5819756851106,1693.1471140675437,288.5021103291981
22.0%,584.8017473077169,1332.6544660652341,1917.456213372951,326.7716434085063
22.4%,500.7599648983104,1245.544123412943,1746.3040883112535,305.41187570336893
22.8%,392.6612225099425,1279.5121878785199,1672.1734103884623,313.74096665039866
23.2%,495.80646418503204,1208.6362961455557,1704.4427603305876,296.3619443986619
23.6%,425.58808384438015,1138.0924569397462,1563.6805407841264,279.0643426146902
24.0%,401.7507936430216,1177.62900225023,1579.3797958932516,288.75884498929844
24.4%,297.9815087191049,1176.092952659308,1474.0744613784127,288.38220013351327
24.8%,406.28213796911837,1264.009445183535,1670.2915831526534,309.939638671709
25.2%,424.9131649995786,1324.7502019998574,1749.663366999436,324.8334895776756
25.6%,457.8393113157998,1215.6041476604325,1673.4434589762323,298.07048652156146
26.0%,469.9937654130067,1245.7536051923635,1715.7473706053702,305.463241385223
26.4%,518.7143292209697,1200.3982214686473,1719.112550689617,294.3419390114863
26.8%,509.4035979804977,1265.4851959369394,1774.888793917437,310.3014980367814
27.2%,534.031035458572,1218.6026364849622,1752.6336719435342,298.80572671013533
27.6%,461.96650166116353,1236.8619096407328,1698.8284113018963,303.2829658208652
28.0%,439.59866171776457,1203.772561317286,1643.3712230350507,295.1693392159925
28.4%,477.46593447668874,1163.3537382149111,1640.8196726915999,285.25849916996196
28.8%,567.3572529598582,1250.3552285081091,1817.7124814679673,306.5915758871685
29.2%,544.8058531829117,1164.9612414920769,1709.7670946749886,285.65266472528026
29.6%,562.8192658861544,1222.7146523776178,1785.5339182637722,299.8140077200901
30.0%,415.2467415096979,1325.9433030937976,1741.1900446034956,325.12604223490746
30.4%,503.37005993890523,1298.3720706024087,1801.742130541314,318.3654773762533
30.8%,539.4561603672558,1230.560717928728,1770.016878295984,301.73789106698433
31.2%,384.1448147183212,1227.6496889096363,1611.7945036279575,301.0240963356411
31.6%,426.1754055163833,1248.774948336829,1674.9503538532124,306.2040855348195
32.0%,334.62140262909634,1267.360711228224,1601.9821138573204,310.76138109692715
32.4%,452.58978890939466,1314.488551826918,1767.0783407363126,322.31729623838095
32.8%,449.94962882510606,1314.0330377927733,1763.9826666178792,322.20560256734814
33.2%,419.4965110598906,1257.2620257056778,1676.7585367655684,308.2851472730076
33.6%,457.025156292278,1404.2738817098816,1861.2990380021597,344.33298038376745
34.0%,465.82342719626354,1321.104233617475,1786.9276608137386,323.9394850847899
34.4%,390.0420705183317,1185.2672964390558,1575.3093669573875,290.6317820547403
34.8%,518.7044648467061,1275.7767652899138,1794.4812301366198,312.82502766607354
35.2%,545.2653346264274,1227.3916918448267,1772.657026471254,300.9608345322185
35.6%,517.0636775362559,1193.561571884881,1710.625249421137,292.66556807154456
36.0%,504.3319276318625,1215.4398428765398,1719.7717705084024,298.0301984006572
36.4%,432.03450151893094,1201.5657961853838,1633.6002977043147,294.62823250969274
36.8%,442.4675932065004,1205.4867209593845,1647.9543141658849,295.5896572936161
37.2%,522.2243695193316,1224.7284789841756,1746.952848503507,300.30780520962816
37.6%,518.5951616076766,1243.2990225248916,1761.8941841325682,304.8613689324934
38.0%,516.328473196739,1225.7226980493112,1742.0511712460502,300.5515912817836
38.4%,572.2977174424334,1072.6072653284427,1644.9049827708761,263.00713932108033
38.8%,465.20667025197736,1099.2725003455885,1564.4791705975658,269.54555035732886
39.2%,423.8328129552938,1222.3882406712758,1646.2210536265695,299.7339704017715
39.6%,412.4554243540355,1254.7920700125883,1667.2474943666239,307.67950529939077
40.0%,326.0642886500509,1301.0749040377345,1627.1391926877855,319.0282218055191
40.4%,447.32196922891444,1215.6354239355671,1662.9573931644816,298.07815557613316
40.8%,485.0531302401591,1188.830008500293,1673.883138740452,291.5053717997844
41.2%,384.2181874463903,1103.8552554790515,1488.0734429254417,270.66925831346697
41.6%,375.8394153463644,1195.7352679750713,1571.5746833214357,293.1985661304933
42.0%,362.67236163526684,1279.5833152342095,1642.2556768694762,313.7584073325123
42.4%,355.09457607271133,1219.2773753001177,1574.371951372829,298.9711750818733
42.8%,382.922007726694,1175.1654676581106,1558.0874753848047,288.1547774926146
43.2%,416.85600961953674,1239.7182049836242,1656.574214603161,303.98333965896325
43.6%,382.6573985951511,1159.5828186101755,1542.2402172053266,284.3338561902712
44.0%,410.4657014407436,1238.5940867423253,1649.059788183069,303.7077018440244
44.4%,438.9452757738783,1180.9062670627313,1619.8515428366095,289.56244204760264
44.8%,290.0290126325227,1212.586062174027,1502.6150748065497,297.3304411613774
45.2%,385.04245205481016,1196.3092479138297,1581.3516999686399,293.3393080652165
45.6%,444.7396158594813,1300.5208745697712,1745.2604904292525,318.892371797619
46.0%,427.28868608087896,1252.0367921239474,1679.3254782048264,307.00390130252225
46.4%,447.42421157910417,1228.036701903451,1675.4609134825553,301.11899330648356
46.8%,448.6389003397203,1215.6496812674952,1664.2885816072155,298.08165152493564
47.2%,343.36524722104855,1265.136394540486,1608.5016417615345,310.2159706863357
47.6%,476.825741774833,1260.2678887537952,1737.0936305286282,309.02219564759065
