#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.4%,-623.5908008935093,990.7870346131001,367.19623371959085,242.944525991267
0.8%,-424.65052371044976,1053.444662020289,628.7941383098391,258.3084004248088
1.2%,-373.5119306216319,1189.2822979085313,815.7703672868994,291.61627478100706
1.6%,-297.039859898447,1163.6397724226442,866.5999125241972,285.3286357811482
2.0%,-356.22865981864857,1153.8433659011828,797.6147060825342,282.92652184986974
2.4%,-373.4499705065547,1230.8365075311192,857.3865370245645,301.8055156642848
2.8%,-341.40328387992224,1257.5697670703314,916.1664831904092,308.36060655674044
3.2%,-200.450574620682,1325.1661055471602,1124.715530926478,324.9354706156057
3.6%,-357.1685768278527,1191.7712894763815,834.6027126485288,292.22658441922687
4.0%,-378.98806878710116,1264.281353596444,885.2932848093428,310.00631158746125
4.4%,-348.6265608667747,1244.4690801843208,895.842519317546,305.1482712571322
4.8%,-369.77266911910897,1221.7067786804057,851.9341095612967,299.5668734832923
5.2%,-310.5029335441007,1235.4906973566965,924.9877638125959,302.9467396625276
5.6%,-217.97036338158932,1253.7128934191326,1035.7425300375432,307.4148873373074
6.0%,-312.1177589723999,1210.704963061752,898.5872040893522,296.8691889283457
6.4%,-354.75590394142193,1159.0494514598324,804.2935475184105,284.2030726565827
6.8%,-262.63926890269994,1120.08711161192,857.4478427092199,274.6493675159436
7.2%,-301.3448964186716,1205.4323968416518,904.0875004229802,295.5763368255726
7.6%,-338.96942673386957,1239.848133005648,900.8787062717784,304.01519847485486
8.0%,-304.8123767192561,1381.4828542558625,1076.6704775366065,338.74453890417874
8.4%,-409.5729329796484,1342.4690881022761,932.8961551226278,329.1782238493815
8.8%,-341.5614010854963,1271.6230071586133,930.061606073117,311.8065113098465
9.2%,-280.89503487269855,1267.7209615679114,986.825926695213,310.84971576921896
9.6%,-379.655521247722,1258.387794939339,878.7322736916171,308.5611899171811
10.0%,-246.3411422307837,1229.2696413806038,982.9284991498201,301.42131447782367
10.4%,-248.6608894468324,1329.0460945831426,1080.38520513631,325.88685781009616
10.8%,-226.1591606091347,1211.7511580318412,985.5919974227065,297.1257196783691
11.2%,-359.5878384608409,1283.7513631336788,924.1635246728379,314.78042759102414
11.6%,-229.05016665088078,1241.6883649783779,1012.6381983274971,304.46642993904476
12.0%,-275.74966735772034,1281.479846590824,1005.7301792331037,314.22344360707376
12.4%,-322.1446723224482,1252.5332771219125,930.3886047994644,307.1256412004808
12.8%,-328.0224188655211,1244.4465521003367,916.4241332348156,305.14274729033224
13.2%,-306.8746292940208,1179.6566378277212,872.7820085337004,289.25602848791874
13.6%,-363.1423652519877,1239.1672622901692,876.0248970381815,303.8482465392172
14.0%,-300.335536801784,1133.7173130676297,833.3817762658457,277.99154168268166
14.4%,-355.275317444802,1204.9049066980692,849.6295892532672,295.4469943549702
14.8%,-297.16766463419475,1202.9287315237339,905.761066889539,294.9624291313325
15.2%,-303.5589556413977,1275.6746832065785,972.1157275651808,312.799996773983
15.6%,-284.4751565113968,1380.0482013640926,1095.5730448526958,338.39275688183
16.0%,-338.1754337956061,1218.422797150939,880.2473633553329,298.76162946195535
16.4%,-350.48057634394786,1355.7957857633626,1005.3152094194147,332.4459777997204
16.8%,-371.7901678980188,1247.1423668925108,875.352198994492,305.803770723184
17.2%,-153.02118984628805,1312.9910946596935,1159.9699048134055,321.95011438297286
17.6%,-250.82997795392623,1255.4321913174172,1004.6022133634909,307.8364653337328
18.0%,-295.93843805466827,1295.855639032694,999.9172009780257,317.7484393513941
18.4%,-329.6115147221183,1271.9528301603912,942.3413154382729,311.8873850900118
18.8%,-354.0252873794502,1251.5835648817238,897.5582775022735,306.8927683610508
19.2%,-402.4200824801858,1062.864357421734,660.4442749415482,260.61814344156096
19.6%,-292.38636345529574,1197.2781591250432,904.8917956697475,293.576888561037
20.0%,-360.76155787063675,1218.8051654677229,858.0436075970861,298.8553875413709
20.4%,-334.1879341863778,1185.2926588406028,851.104724654225,290.6380010063481
20.8%,-295.4093938439368,1282.6651625909628,987.255768747026,314.51408733144996
21.2%,-168.20456257310752,1265.6793644765444,1097.4748019034369,310.34910885744097
21.6%,-215.7944977498811,1206.4870699884807,990.6925722385996,295.83494645486815
22.0%,-267.5408529951103,1280.5718785982654,1013.0310256031551,314.00080660652645
22.4%,-304.2247825988359,1328.8095556916155,1024.5847730927796,325.8288576275413
22.8%,-232.82084722831843,1377.2163582930489,1144.3955110647305,337.69837882828085
23.2%,-240.42737785853387,1250.2087838383688,1009.781405979835,306.55566713015907
23.6%,-334.2678884599311,1202.8567864962924,868.5888980363613,294.94478795317957
24.0%,-301.4301429472172,1279.0513451495067,977.6212022022895,313.6279663643176
24.4%,-276.0075706259697,1269.6322192788602,993.6246486528905,311.3183629985551
24.8%,-327.7433477927247,1302.9107671938173,975.1674194010925,319.4783820202352
25.2%,-379.3004979134372,1287.9092216123472,908.60872369891,315.79994936709716
25.6%,-365.3446234730672,1267.0416313372834,901.6970078642162,310.6831415659787
26.0%,-428.8316083940713,1287.4590130694266,858.6274046753554,315.6895566214959
26.4%,-416.40718131969606,1189.6201893418154,773.2130080221193,291.69912696944704
26.8%,-399.5421669867238,1175.5853292544052,776.0431622676814,288.2577290583197
27.2%,-377.3536704394762,1330.6568522884456,953.3031818489694,326.2818213628383
27.6%,-328.57699953811914,1286.3385872207316,957.7615876826125,315.4148241944352
28.0%,-429.05674707981484,1217.7399922913592,788.6832452115443,298.59420326726365
28.4%,-417.64318807563086,1216.2601677600744,798.6169796844435,298.2313449972787
28.8%,-337.1951356250928,1272.8493511967547,935.6542155716619,312.10721525594204
29.2%,-401.13624393152855,1309.8688798405528,908.7326359090243,321.1845361378202
29.6%,-396.25645377317846,1239.858599235061,843.6021454618826,304.01776483175587
30.0%,-407.1842488445904,1186.9304523968347,779.7462035522442,291.0395938464741
30.4%,-311.81387650169836,1146.7851078611466,834.9712313594482,281.19581172352025
30.8%,-439.0352880489743,1157.7665425447462,718.731254495772,283.8884988002673
31.2%,-425.51342460566156,1209.1755395449554,783.6621149392938,296.49416880964463
31.6%,-374.58555710227233,1212.5411140479807,837.9555569457084,297.31941972004347
32.0%,-558.3908722928059,1272.131735089448,713.7408627966422,311.93125321875067
32.4%,-308.7811041301063,1187.099306303547,878.3182021734408,291.08099742857087
32.8%,-431.18043009380585,1214.8205034953883,783.6400734015824,297.8783341683599
33.2%,-448.59474325001463,1084.3976297653435,635.8028865153289,265.89817886774307
33.6%,-456.61562088393543,1225.668427857035,769.0528069730997,300.53828403645497
34.0%,-353.4551951272829,1192.727506946019,839.2723118187362,292.46105236419385
34.4%,-337.43193521679746,1202.9426669088227,865.5107316920253,294.9658461376181
34.8%,-345.6377567554364,1207.9220154461896,862.2842586907532,296.1868002154318
35.2%,-359.19101886003796,1221.805847799133,862.6148289390951,299.59116558568036
35.6%,-376.4543432670935,1242.8980809252641,866.4437376581707,304.7630566176681
36.0%,-380.1115414665694,1320.1487486140227,940.0372071474533,323.7051967431523
36.4%,-281.0586685147345,1178.0869282630642,897.0282597483297,288.87113008613613
36.8%,-310.1518729087093,1204.5491474056676,894.3972744969583,295.3597609035421
37.2%,-302.940476759711,1271.4917078953085,968.5512311355976,311.77431626068636
37.6%,-295.3423926937535,1216.1162003679801,920.7738076742266,298.19604367761195
38.0%,-309.1327562459369,1268.545262443369,959.4125061974321,311.0518372932863
38.4%,-402.3508143885139,1308.906160819276,906.555346430762,320.9484739891283
38.8%,-285.4335856903855,1212.4114581791139,926.9778724887284,297.28762763707965
39.2%,-333.3195390830383,1361.581290542512,1028.2617514594738,333.8646042725018
39.6%,-251.79406733694373,1213.8877342730887,962.0936669361449,297.6496158175396
40.0%,-318.7940545508865,1171.0977886289484,852.3037340780619,287.1573680402288
40.4%,-343.09763561328657,1232.8130528003426,889.715417187056,302.29017163651326
40.8%,-263.8249663797328,1158.7847631295379,894.959796749805,284.1381701309215
41.2%,-389.33672475506893,1325.6175504157225,936.2808256606536,325.046166512678
41.6%,-377.68442361182474,1233.7854163597729,856.1009927479481,302.5285986604693
42.0%,-369.2770965508638,1195.5541484977596,826.2770519468958,293.1541549865985
42.4%,-349.4636957513211,1197.5558767499558,848.0921809986347,293.6449859163583
42.8%,-429.78678809145816,1319.4324940021902,889.645705910732,323.52956854952276
43.2%,-457.8716351277367,1305.1119215571903,847.2402864294536,320.0181129460159
43.6%,-374.3103022830574,1222.3784285945083,848.0681263114509,299.7315644454398
44.0%,-455.9402044300104,1193.1116530925592,737.1714486625488,292.55524637382683
44.4%,-444.5506095173132,1247.13396100143,802.5833514841167,305.8017095686141
44.8%,-430.72558918209677,1212.1590540453549,781.4334648632581,297.2257372403626
45.2%,-475.5590807003851,1224.6941533093127,749.1350726089277,300.29938843133215
45.6%,-424.2043345803936,1198.9410579551359,774.7367233747423,293.98463730414204
46.0%,-438.06201447058265,1161.4232667082977,723.361252237715,284.78514064918056
46.4%,-442.9757171805477,1187.4214098638515,744.4456926833038,291.1599783740662
46.8%,-535.2468046959125,1192.4369288764915,657.190124180579,292.3898015818374
47.2%,-470.1486881801775,1226.5646133238313,756.4159251436538,300.7580319195266
47.6%,-402.84662338011253,1193.2150883585177,790.3684649784052,292.5806090711384
48.0%,-341.9049094670019,1126.9210277190407,785.0161182520387,276.32506819763137
48.4%,-403.62286092188583,1249.5797675563715,845.9569066344857,306.40143008714983
48.8%,-305.7225272253445,1335.5857451513025,1029.863217925958,327.4904035287284
49.2%,-331.47581312300656,1243.9655793775382,912.4897662545317,305.0248110577486
49.6%,-395.2484133894722,1234.7771125880702,839.5286991985979,302.771766124005
50.0%,-368.50551811456637,1217.9121000234836,849.4065819089172,298.6364046989939
50.4%,-392.8620302860295,1278.7296594230154,885.8676291369859,313.54908787316833
50.8%,-409.80133213261706,1265.6410907262748,855.8397585936577,310.3397239969288
51.2%,-459.6031048241209,1250.6884108808422,791.0853060567213,306.6732733971121
51.6%,-426.55131005336875,1159.7157700190203,733.1644599656515,284.36645635142924
52.0%,-360.8861344996276,1244.8457241395997,883.9595896399721,305.2406257026246
52.4%,-212.6129031291681,1286.5278822492944,1073.9149791201262,315.4612400127494
52.8%,-298.49084675221434,1237.477475864609,938.9866291123947,303.43390486149787
53.2%,-334.00460404806574,1131.9212057141845,797.9166016661187,277.55112973302124
53.6%,-298.74671478028586,1147.3489773395158,848.60226255923,281.3340745371802
54.0%,-226.6115137172805,1215.419840383587,988.8083266663064,298.0252937178148
54.4%,-254.92188217940213,1237.1516848257645,982.2298026463624,303.35401973307046
54.8%,-245.9921238402262,1313.3066810560454,1067.3145572158191,322.0274972965481
55.2%,-219.00019232312275,1248.9055704760287,1029.905378152906,306.23611455072626
55.6%,-224.67780095184781,1168.1918762361065,943.5140752842588,286.4448279239496
56.0%,-313.4186950988993,1390.5404581957168,1077.1217630968176,340.9654957989606
56.4%,-228.25824541777962,1210.7767401824983,982.5184947647188,296.8867889351761
56.8%,-272.37937327520393,1296.4712186562224,1024.0918453810184,317.89938167766945
57.2%,-285.43382831871577,1191.6993573165055,906.2655289977897,292.2089463962471
57.6%,-379.6133980043979,1296.8099156388234,917.1965176344256,317.98243138968434
58.0%,-344.16702202780624,1324.534356236033,980.3673342082268,324.7805634240749
58.4%,-319.79339398186175,1230.0237333217199,910.2303393398581,301.6062205199781
58.8%,-361.93277514232545,1259.454060086797,897.5212849444715,308.82264194650776
59.2%,-398.62760831383287,1205.3988819469985,806.7712736331656,295.56811885348503
59.6%,-361.8331927633358,1194.9805285151363,833.1473357518005,293.0135013144075
60.0%,-315.35751534031186,1263.3762820386873,948.0187666983754,309.78438480309114
60.4%,-314.1753195440738,1208.18266375556,894.0073442114863,296.25071211350706
60.8%,-293.08796562538316,1232.339723292416,939.2517576670328,302.17410954756417
61.2%,-284.7874319461308,1246.4152501311935,961.6278181850627,305.6254790916352
61.6%,-249.92537393934526,1219.213318718467,969.2879447791217,298.9554681788538
62.0%,-284.46255988166746,1231.016631819342,946.5540719376745,301.8496827842541
62.4%,-316.3400571858563,1283.430948909473,967.0908917236168,314.70186087678474
62.8%,-379.258001091458,1287.1258764195932,907.8678753281351,315.6078703229709
63.2%,-393.2488892288186,1219.8963447987778,826.6474555699592,299.12294861766026
63.6%,-390.4125115408628,1206.721572689654,816.3090611487912,295.8924473562626
64.0%,-405.65722248190144,1271.3772869665268,865.7200644846253,311.74625983954314
64.4%,-359.2899648707142,1213.7279676579965,854.4380027872824,297.6104404718631
64.8%,-254.03485019154687,1041.3676068121626,787.3327566206158,255.3470632752423
65.2%,-450.35376583678226,1183.8864885554099,733.5327227186276,290.2932030210448
65.6%,-349.6574364646784,1199.3641451873834,849.706708722705,294.0883798073244
66.0%,-378.7567716459268,1244.4232478684842,865.6664762225573,305.13703300929785
66.4%,-346.3311827355449,1185.501551870538,839.170369134993,290.68922232472175
66.8%,-419.0657522612414,1266.953839983543,847.8880877223016,310.66161481191807
67.2%,-444.9732113931814,1293.2814285169507,848.3082171237693,317.1172337222316
67.6%,-351.0851428881333,1249.1198767251244,898.0347338369911,306.288663209807
68.0%,-372.40438236324826,1170.8726298823162,798.468247519068,287.1021583099211
68.4%,-282.51986313919997,1166.4187172779398,883.8988541387398,286.01004300292243
68.8%,-403.14305553356485,1162.0523793771652,758.9093238436003,284.93940132659526
69.2%,-435.2654295403884,1115.6728733056289,680.4074437652405,273.56698048879286
69.6%,-320.59529534731337,1124.605347133367,804.0100517860537,275.7572550323598
70.0%,-352.93118340220445,1193.2758540256393,840.3446706234349,292.5955090301403
70.4%,-324.41144433976797,1141.6202611935241,817.2088168537562,279.92937284044274
70.8%,-348.11366894780565,1168.919080809334,820.8054118615283,286.62314108729294
71.2%,-340.0229878216751,1189.4737487403552,849.4507609186801,291.6632192099945
71.6%,-321.48125095246604,1199.8093397717987,878.3280888193326,294.19754311235977
72.0%,-406.6467219744053,1265.6049074612642,858.958185486859,310.330851730882
72.4%,-273.4497926977568,1242.9679633157532,969.5181706179965,304.78019202986
72.8%,-369.8611928427108,1290.1860661086532,920.3248732659424,316.35823978429755
73.2%,-280.37502245855876,1284.155595773037,1003.7805733144783,314.879546880567
73.6%,-381.1753418516672,1256.8113501442674,875.6360082926002,308.17464001280166
74.0%,-297.4845768440732,1232.4426968468076,934.9581200027344,302.19935903154743
74.4%,-222.04643234809993,1144.8774318162536,922.8309994681538,280.7280427315165
74.8%,-343.26464750761806,1302.7565418503225,959.4918943427044,319.4405654141814
75.2%,-300.47389185009115,1257.7701252927975,957.2962334427064,308.4097351097846
75.6%,-242.17329789828023,1170.7805512565274,928.6072533582471,287.079580301414
76.0%,-241.91700880397224,1194.1900497255551,952.2730409215828,292.8196730868147
76.4%,-286.22438069831287,1266.4114280173994,980.1870473190866,310.5286134570323
76.8%,-349.32068671757474,1173.1808716517055,823.8601849341308,287.6681474508231
77.2%,-381.10065727467804,1261.2390819138025,880.1384246391244,309.26033568542033
77.6%,-225.01119558056212,1179.9804470870583,954.9692515064962,289.33542767692006
78.0%,-159.40630125292566,1238.5525551482478,1079.1462538953222,303.6975181485537
78.4%,-241.22439885543966,1244.267233854753,1003.0428349993133,305.09877781490206
78.8%,-174.56966329596423,1185.9727400956065,1011.4030767996422,290.80475936345243
79.2%,-295.6738932973806,1285.0915309632421,989.4176376658615,315.1090415380457
79.6%,-305.6175348274097,1193.7346111931404,888.1170763657307,292.70799792907627
80.0%,-328.252676995108,1248.5497486347515,920.2970716396435,306.14886576209005
80.4%,-207.8582439671452,1234.3967051756756,1026.5384612085304,302.67848886536206
80.8%,-268.65201862065044,1157.951094918063,889.2990762974126,283.93375170254563
81.2%,-243.98772263892494,1270.9010001821407,1026.9132775432158,311.6294726158248
81.6%,-295.60316442369816,1261.889177098253,966.2860126745547,309.41974135073286
82.0%,-171.17133208297963,1237.9767176421685,1066.8053855591888,303.55632073167686
82.4%,-68.50362471198588,1202.0857223730225,1133.5820976610366,294.7557202712334
82.8%,-51.64973033538621,1269.8783896372108,1218.2286593018246,311.3787248512371
83.2%,-138.87524156251732,1256.593868560113,1117.7186269975955,308.1213127502029
83.6%,-210.50299698995036,1335.5206743663427,1125.0176773763924,327.4744479394285
84.0%,-157.128349472629,1384.7477788025658,1227.6194293299368,339.5451100851549
84.4%,-211.48484102860937,1259.9641275141632,1048.479286485554,308.9477123047543
84.8%,-316.01535379029406,1274.459254777259,958.443900986965,312.50196937422743
85.2%,-296.8374334396824,1265.7117628500037,968.8743294103213,310.35705305453683
85.6%,-229.8221234580783,1257.4765028973006,1027.6543794392223,308.33773784780766
86.0%,-217.13870482621087,1318.2654254942843,1101.1267206680734,323.24339917553283
86.4%,-304.00654879771196,1243.986385053257,939.979836255545,305.029912683879
86.8%,-336.60858905566965,1283.7131060965166,947.104517040847,314.7710468286257
87.2%,-207.76441736375398,1206.973489466576,999.209072102822,295.95421825133946
87.6%,-250.331790491425,1353.8079770504191,1103.4761865589942,331.95855999079043
88.0%,-123.43917423981065,1318.4780360380776,1195.038861798267,323.2955320416061
88.4%,-243.65304423248836,1243.357483063878,999.7044388313896,304.87570366582867
88.8%,-178.10649648749632,1229.6087263477284,1051.502229860232,301.5044593250319
89.2%,-207.29798275913816,1247.6969070277898,1040.3989242686516,305.93974594853717
89.6%,-189.1702722007176,1156.3867022578731,967.2164300571555,283.55015702476254
90.0%,-182.76237487117265,1194.6346125257703,1011.8722376545977,292.9286814761038
90.4%,-184.66470679598842,1268.336638534199,1083.6719317382106,311.00068196428714
90.8%,-118.08412643161819,1187.0092251633016,1068.9250987316834,291.0589092106661
91.2%,-255.4098892719026,1236.6070472806828,981.1971580087802,303.2204726582658
91.6%,-273.86319465590805,1267.580223392741,993.7170287368328,310.81520626509626
92.0%,-292.80639103140084,1249.0292151906315,956.2228241592306,306.26643267715616
92.4%,-202.25260684007878,1196.8863940619215,994.6337872218427,293.4808263657972
92.8%,-273.59694221211646,1171.1735061536885,897.5765639415721,287.1759342482176
93.2%,-318.4009853025997,1193.2872405018948,874.8862551992951,292.59830103485973
93.6%,-263.7058150890771,1181.467306237446,917.761491148369,289.7000108606794
94.0%,-323.1131180104246,1184.9291855134256,861.816067503001,290.5488760459917
94.4%,-283.0022901887542,1135.8644433543602,852.8621531656061,278.51802571156776
94.8%,-360.1652149410824,1241.4512320705242,881.2860171294417,304.40828410156115
95.2%,-295.96337590846315,1200.7870168612405,904.8236409527774,294.4372730328868
95.6%,-210.29553578134903,1175.7051759124834,965.4096401311343,288.28711588770005
96.0%,-303.84045329646653,1223.582498654795,919.7420453583285,300.0268067324676
96.4%,-382.44896176431484,1223.365209477047,840.9162477127322,299.9735266486082
96.8%,-285.55002461466256,1242.3597158728458,956.8096912581832,304.631047580508
97.2%,-318.8645972786069,1240.7391970531714,921.8745997745646,304.233690567596
97.6%,-364.84797572519074,1310.179568011155,945.3315922859642,321.26071798891553
98.0%,-279.45504171269727,1169.625405315178,890.1703636024808,286.7963343834036
98.4%,-244.08977974257783,1213.401111748229,969.3113320056511,297.5302942332752
98.8%,-156.5264432033514,1284.4249657119149,1127.8985225085635,314.9455973534039
99.2%,-286.2563089464891,1383.0359773030757,1096.7796683565866,339.1253702325364
99.6%,-219.02327375199138,1262.1404950997855,1043.1172213477942,309.4813654239418
100.0%,-204.79966017664978,1220.4223618266424,1015.6227016499926,299.2519298750177
